Title	Season	Producer	Singer	Date	Dislike	Like	View	URL	LD-Ratio
Aik Alif	2	Rohail Hyaat	"Noori, Saieen Zahoor"	" Jun 14, 2009"	"2,210"	"45,965"	"11,903,841 views"	https://www.youtube.com/watch?v=Ra5nTlty6CM	0.048080061
Aj Latha Naeeo	2	Rohail Hyaat	Javed Bashir	" Jun 14, 2009"	82	"3,308"	"636,569 views"	https://www.youtube.com/watch?v=IZCkA4HpRn4	0.024788392
Jal Pari	2	Rohail Hyaat	Atif Aslam	" Jun 14, 2009"	"1,600"	"43,681"	"8,001,392 views"	https://www.youtube.com/watch?v=Kf6MsltI7lQ	0.036629198
Khamaaj	2	Rohail Hyaat	Shafqat Amanat Ali	" Jun 14, 2009"	186	"10,493"	"1,657,598 views"	https://www.youtube.com/watch?v=uMF8npZN5wE	0.017726103
Paimona	2	Rohail Hyaat	"Zeb, Haniya"	" Jun 14, 2009"	153	"6,896"	"1,484,013 views"	https://www.youtube.com/watch?v=7wIRNkE0uXY	0.022186775
Janay Do	2	Rohail Hyaat	Josh	" Jun 28, 2009"	18	441	"159,052 views"	https://www.youtube.com/watch?v=vatMMD1pa-U	0.040816327
Dastaan-e-ishq	2	Rohail Hyaat	Ali Zafar	" Jun 28, 2009"	790	"24,403"	"5,343,550 views"	https://www.youtube.com/watch?v=6UknDjQZr5E	0.032373069
Aankhon Kay Sagar	2	Rohail Hyaat	Shafqat Amanat Ali	" Jun 28, 2009"	808	"33,204"	"4,501,174 views"	https://www.youtube.com/watch?v=I7xqX51zqoM	0.024334418
Toumba	2	Rohail Hyaat	Saieen Zahoor	" Jun 28, 2009"	613	"10,753"	"2,849,597 views"	https://www.youtube.com/watch?v=9F4EizRXzWI	0.057007347
Kinara	2	Rohail Hyaat	"Atif Aslam, Riaz Ali Khan"	" Jun 28, 2009"	92	"3,371"	"735,703 views"	https://www.youtube.com/watch?v=TXGTA3X99g0	0.027291605
Bari Barsi	2	Rohail Hyaat	Josh	" Jul 11, 2009"	254	"5,976"	"1,998,386 views"	https://www.youtube.com/watch?v=aa3sYXfcDYc	0.042503347
Chal Diyay	2	Rohail Hyaat	"Zeb,Haniya,Javed Bashir"	" Jul 11, 2009"	139	"6,341"	"1,463,132 views"	https://www.youtube.com/watch?v=WY_LzIAG4gc	0.021920833
Jo Meray	2	Rohail Hyaat	Noori	" Jul 11, 2009"	41	"1,922"	"500,577 views"	https://www.youtube.com/watch?v=YjehYh8N1iY	0.021331946
Yar Daddi	2	Rohail Hyaat	Ali Zafar	" Jul 11, 2009"	835	"17,582"	"4,180,916 views"	https://www.youtube.com/watch?v=SIMb5iPyzHA	0.047491753
Wasta Pyar Da	2	Rohail Hyaat	Atif Aslam	" Jul 11, 2009"	418	"7,020"	"2,148,014 views"	https://www.youtube.com/watch?v=b7GFdkZqv9c	0.05954416
Bulleya	2	Rohail Hyaat	Riaz Ali Khan	" Jul 22, 2009"	32	"1,091"	"349,822 views"	https://www.youtube.com/watch?v=FOriUKHfnrs	0.029330889
Chup	2	Rohail Hyaat	"Zeb, Haniya"	" Jul 22, 2009"	68	"1,790"	"825,034 views"	https://www.youtube.com/watch?v=3XAO-IqPcn4	0.037988827
Saari Raat	2	Rohail Hyaat	Noori	" Jul 22, 2009"	587	"18,092"	"4,304,465 views"	https://www.youtube.com/watch?v=-S5U2GXKBSo	0.03244528
Mahi Ve	2	Rohail Hyaat	"Shafqat Amanat Ali, Josh"	" Jul 22, 2009"	170	"6,040"	"1,497,580 views"	https://www.youtube.com/watch?v=sM96x1bSx2g	0.028145695
Mai ni Main	2	Rohail Hyaat	Atif Aslam	" Jul 22, 2009"	287	"6,321"	"1,407,429 views"	https://www.youtube.com/watch?v=XTybbAri_3g	0.045404208
Nahi Ray Nahi	2	Rohail Hyaat	Ali Zafar	" Aug 7, 2009"	62	"2,987"	"446,006 views"	https://www.youtube.com/watch?v=UG26ZAnFJpM	0.020756612
Ajab Khail	2	Rohail Hyaat	Shafqat Amanat Ali	" Aug 7, 2009"	36	"1,616"	"263,224 views"	https://www.youtube.com/watch?v=ZR3clu8Sujw	0.022277228
Humain Kya Hua	2	Rohail Hyaat	Atif Aslam	" Aug 7, 2009"	27	674	"175,758 views"	https://www.youtube.com/watch?v=_PG61P56l98	0.040059347
Titiliyaan	2	Rohail Hyaat	Strings	" Aug 7, 2009"	70	"3,650"	"545,963 views"	https://www.youtube.com/watch?v=b284RBZaiAs	0.019178082
Keedar	2	Rohail Hyaat	Noori	" Aug 7, 2009"	17	"1,021"	"190,205 views"	https://www.youtube.com/watch?v=HYlFzD5MCrI	0.016650343
Husn-e-Haqiqi	2	Rohail Hyaat	Arieb Azhar	" Aug 7, 2009"	74	"3,893"	"605,642 views"	https://www.youtube.com/watch?v=Lbp4GXmF0ZQ	0.019008477
Rona Chor Diya	2	Rohail Hyaat	"Zeb,Haniya,Javed Bashir"	" Aug 7, 2009"	28	"1,344"	"298,759 views"	https://www.youtube.com/watch?v=fKVQc3zSyYM	0.020833333
Na Raindee Hai	3	Rohail Hyaat	Arieb Azhar	" May 31, 2010"	40	"1,755"	"465,318 views"	https://www.youtube.com/watch?v=XxH5wQtWZqQ	0.022792023
Ramooz-e-Ishq	3	Rohail Hyaat	Abida Parveen	" May 31, 2010"	186	"5,665"	"1,734,128 views"	https://www.youtube.com/watch?v=h0EoMozYWSs	0.032833186
Alif Allah	3	Rohail Hyaat	"Arif Lohar, Meesha Shafi"	" May 31, 2010"	"10,538"	"165,400"	"44,375,590 views"	https://www.youtube.com/watch?v=gjaH2iuoYWE	0.063712213
Yaadein	3	Rohail Hyaat	Karavan	" May 31, 2010"	30	470	"201,996 views"	https://www.youtube.com/watch?v=auqCzXMIvs0	0.063829787
Bibi Sana	3	Rohail Hyaat	"Zeb,Haniya"	" May 31, 2010"	796	"18,169"	"6,262,250 views"	https://www.youtube.com/watch?v=GuY-2sHJYhg	0.043810887
Aisha	3	Rohail Hyaat	Amanat Ali	" Jun 16, 2010"	200	"2,305"	"963,913 views"	https://www.youtube.com/watch?v=iJJYdY-9U-w	0.086767896
Moomal Rano	3	Rohail Hyaat	Fakir Juman Shah	" Jun 16, 2010"	43	"1,622"	"374,942 views"	https://www.youtube.com/watch?v=ZkOQutaHaZc	0.026510481
Tann Dolay	3	Rohail Hyaat	"Noori,Zeb,Haniya"	" Jun 16, 2010"	46	"1,268"	"456,831 views"	https://www.youtube.com/watch?v=JJX_0uCwyDM	0.036277603
Bolo Bolo	3	Rohail Hyaat	Entity Paradigm	" Jun 16, 2010"	414	"6,376"	"1,277,799 views"	https://www.youtube.com/watch?v=saY_N-xQliE	0.064930991
Naina De Akhay	3	Rohail Hyaat	"Rizwan, Muazzam"	" Jun 16, 2010"	250	"8,061"	"1,877,191 views"	https://www.youtube.com/watch?v=C2SoRn4tzqc	0.031013522
Sultanat	3	Rohail Hyaat	Aunty Disco Project	" Jul 3, 2010"	24	476	"187,431 views"	https://www.youtube.com/watch?v=mt03MoMPvR4	0.050420168
Mori Araj Suno	3	Rohail Hyaat	Tina Sani	" Jul 3, 2010"	122	"5,465"	"1,278,688 views"	https://www.youtube.com/watch?v=l-sZOGBTgcs	0.022323879
Pritan	3	Rohail Hyaat	Sanam Marvi	" Jul 3, 2010"	104	"2,972"	"1,460,576 views"	https://www.youtube.com/watch?v=Z9bBGEFssWA	0.034993271
Nigah-e-Darwaishaan	3	Rohail Hyaat	Abida Parveen	" Jul 3, 2010"	112	"3,949"	"1,048,678 views"	https://www.youtube.com/watch?v=Bl5eZb4eudc	0.028361611
